image_path,target
.\input\preprocessed_image\x\x969.jpg,33
.\input\preprocessed_image\c\c424.jpg,12
.\input\preprocessed_image\6\6754.jpg,6
.\input\preprocessed_image\l\l731.jpg,21
.\input\preprocessed_image\g\g0.jpg,16
.\input\preprocessed_image\k\k930.jpg,20
.\input\preprocessed_image\z\z68.jpg,35
.\input\preprocessed_image\z\z475.jpg,35
.\input\preprocessed_image\2\2488.jpg,2
.\input\preprocessed_image\c\c855.jpg,12
.\input\preprocessed_image\i\i448.jpg,18
.\input\preprocessed_image\b\b630.jpg,11
.\input\preprocessed_image\a\a556.jpg,10
.\input\preprocessed_image\3\3315.jpg,3
.\input\preprocessed_image\3\3275.jpg,3
.\input\preprocessed_image\9\9150.jpg,9
.\input\preprocessed_image\0\0108.jpg,0
.\input\preprocessed_image\n\n143.jpg,23
.\input\preprocessed_image\e\e71.jpg,14
.\input\preprocessed_image\g\g47.jpg,16
.\input\preprocessed_image\q\q34.jpg,26
.\input\preprocessed_image\e\e193.jpg,14
.\input\preprocessed_image\q\q371.jpg,26
.\input\preprocessed_image\u\u638.jpg,30
.\input\preprocessed_image\9\938.jpg,9
.\input\preprocessed_image\6\6185.jpg,6
.\input\preprocessed_image\o\o77.jpg,24
.\input\preprocessed_image\1\1721.jpg,1
.\input\preprocessed_image\w\w606.jpg,32
.\input\preprocessed_image\e\e916.jpg,14
.\input\preprocessed_image\d\d461.jpg,13
.\input\preprocessed_image\4\4396.jpg,4
.\input\preprocessed_image\6\6827.jpg,6
.\input\preprocessed_image\q\q636.jpg,26
.\input\preprocessed_image\m\m810.jpg,22
.\input\preprocessed_image\7\7947.jpg,7
.\input\preprocessed_image\m\m28.jpg,22
.\input\preprocessed_image\r\r685.jpg,27
.\input\preprocessed_image\5\5729.jpg,5
.\input\preprocessed_image\1\1655.jpg,1
.\input\preprocessed_image\g\g391.jpg,16
.\input\preprocessed_image\y\y582.jpg,34
.\input\preprocessed_image\l\l269.jpg,21
.\input\preprocessed_image\9\9575.jpg,9
.\input\preprocessed_image\6\6314.jpg,6
.\input\preprocessed_image\1\1496.jpg,1
.\input\preprocessed_image\v\v86.jpg,31
.\input\preprocessed_image\m\m25.jpg,22
.\input\preprocessed_image\r\r837.jpg,27
.\input\preprocessed_image\t\t326.jpg,29
.\input\preprocessed_image\n\n687.jpg,23
.\input\preprocessed_image\9\9615.jpg,9
.\input\preprocessed_image\w\w237.jpg,32
.\input\preprocessed_image\6\6512.jpg,6
.\input\preprocessed_image\n\n598.jpg,23
.\input\preprocessed_image\4\491.jpg,4
.\input\preprocessed_image\y\y301.jpg,34
.\input\preprocessed_image\4\4589.jpg,4
.\input\preprocessed_image\n\n702.jpg,23
.\input\preprocessed_image\y\y93.jpg,34
.\input\preprocessed_image\j\j694.jpg,19
.\input\preprocessed_image\w\w648.jpg,32
.\input\preprocessed_image\j\j885.jpg,19
.\input\preprocessed_image\d\d502.jpg,13
.\input\preprocessed_image\w\w751.jpg,32
.\input\preprocessed_image\3\3887.jpg,3
.\input\preprocessed_image\a\a518.jpg,10
.\input\preprocessed_image\x\x824.jpg,33
.\input\preprocessed_image\g\g418.jpg,16
.\input\preprocessed_image\r\r181.jpg,27
.\input\preprocessed_image\e\e883.jpg,14
.\input\preprocessed_image\6\6497.jpg,6
.\input\preprocessed_image\4\4986.jpg,4
.\input\preprocessed_image\f\f89.jpg,15
.\input\preprocessed_image\u\u659.jpg,30
.\input\preprocessed_image\5\5437.jpg,5
.\input\preprocessed_image\t\t163.jpg,29
.\input\preprocessed_image\4\4642.jpg,4
.\input\preprocessed_image\v\v436.jpg,31
.\input\preprocessed_image\9\9715.jpg,9
.\input\preprocessed_image\3\3644.jpg,3
.\input\preprocessed_image\1\1953.jpg,1
.\input\preprocessed_image\x\x939.jpg,33
.\input\preprocessed_image\i\i857.jpg,18
.\input\preprocessed_image\1\1558.jpg,1
.\input\preprocessed_image\p\p332.jpg,25
.\input\preprocessed_image\g\g425.jpg,16
.\input\preprocessed_image\9\9364.jpg,9
.\input\preprocessed_image\m\m881.jpg,22
.\input\preprocessed_image\k\k334.jpg,20
.\input\preprocessed_image\1\1832.jpg,1
.\input\preprocessed_image\a\a426.jpg,10
.\input\preprocessed_image\q\q480.jpg,26
.\input\preprocessed_image\v\v104.jpg,31
.\input\preprocessed_image\v\v826.jpg,31
.\input\preprocessed_image\6\678.jpg,6
.\input\preprocessed_image\0\0161.jpg,0
.\input\preprocessed_image\s\s253.jpg,28
.\input\preprocessed_image\m\m280.jpg,22
.\input\preprocessed_image\j\j248.jpg,19
.\input\preprocessed_image\o\o117.jpg,24
.\input\preprocessed_image\c\c372.jpg,12
.\input\preprocessed_image\q\q378.jpg,26
.\input\preprocessed_image\2\233.jpg,2
.\input\preprocessed_image\c\c880.jpg,12
.\input\preprocessed_image\m\m310.jpg,22
.\input\preprocessed_image\h\h278.jpg,17
.\input\preprocessed_image\z\z495.jpg,35
.\input\preprocessed_image\m\m947.jpg,22
.\input\preprocessed_image\a\a413.jpg,10
.\input\preprocessed_image\c\c313.jpg,12
.\input\preprocessed_image\w\w48.jpg,32
.\input\preprocessed_image\5\5344.jpg,5
.\input\preprocessed_image\v\v172.jpg,31
.\input\preprocessed_image\a\a959.jpg,10
.\input\preprocessed_image\z\z690.jpg,35
.\input\preprocessed_image\v\v325.jpg,31
.\input\preprocessed_image\q\q737.jpg,26
.\input\preprocessed_image\j\j111.jpg,19
.\input\preprocessed_image\a\a325.jpg,10
.\input\preprocessed_image\x\x46.jpg,33
.\input\preprocessed_image\9\9291.jpg,9
.\input\preprocessed_image\b\b383.jpg,11
.\input\preprocessed_image\w\w441.jpg,32
.\input\preprocessed_image\w\w100.jpg,32
.\input\preprocessed_image\h\h757.jpg,17
.\input\preprocessed_image\f\f710.jpg,15
.\input\preprocessed_image\8\8101.jpg,8
.\input\preprocessed_image\c\c578.jpg,12
.\input\preprocessed_image\b\b38.jpg,11
.\input\preprocessed_image\8\8611.jpg,8
.\input\preprocessed_image\7\7437.jpg,7
.\input\preprocessed_image\3\3450.jpg,3
.\input\preprocessed_image\i\i690.jpg,18
.\input\preprocessed_image\j\j335.jpg,19
.\input\preprocessed_image\x\x334.jpg,33
.\input\preprocessed_image\7\7337.jpg,7
.\input\preprocessed_image\5\5308.jpg,5
.\input\preprocessed_image\p\p351.jpg,25
.\input\preprocessed_image\2\2368.jpg,2
.\input\preprocessed_image\1\1897.jpg,1
.\input\preprocessed_image\n\n874.jpg,23
.\input\preprocessed_image\6\6357.jpg,6
.\input\preprocessed_image\6\6571.jpg,6
.\input\preprocessed_image\5\5949.jpg,5
.\input\preprocessed_image\4\4599.jpg,4
.\input\preprocessed_image\0\0814.jpg,0
.\input\preprocessed_image\r\r15.jpg,27
.\input\preprocessed_image\8\8898.jpg,8
.\input\preprocessed_image\m\m334.jpg,22
.\input\preprocessed_image\p\p404.jpg,25
.\input\preprocessed_image\s\s687.jpg,28
.\input\preprocessed_image\m\m300.jpg,22
.\input\preprocessed_image\8\8762.jpg,8
.\input\preprocessed_image\l\l64.jpg,21
.\input\preprocessed_image\3\3692.jpg,3
.\input\preprocessed_image\3\3756.jpg,3
.\input\preprocessed_image\0\0420.jpg,0
.\input\preprocessed_image\m\m399.jpg,22
.\input\preprocessed_image\o\o48.jpg,24
.\input\preprocessed_image\l\l999.jpg,21
.\input\preprocessed_image\y\y639.jpg,34
.\input\preprocessed_image\h\h992.jpg,17
.\input\preprocessed_image\s\s445.jpg,28
.\input\preprocessed_image\d\d475.jpg,13
.\input\preprocessed_image\o\o310.jpg,24
.\input\preprocessed_image\v\v700.jpg,31
.\input\preprocessed_image\c\c955.jpg,12
.\input\preprocessed_image\g\g754.jpg,16
.\input\preprocessed_image\0\0371.jpg,0
.\input\preprocessed_image\i\i77.jpg,18
.\input\preprocessed_image\h\h523.jpg,17
.\input\preprocessed_image\5\5782.jpg,5
.\input\preprocessed_image\y\y239.jpg,34
.\input\preprocessed_image\0\0540.jpg,0
.\input\preprocessed_image\u\u88.jpg,30
.\input\preprocessed_image\l\l716.jpg,21
.\input\preprocessed_image\t\t420.jpg,29
.\input\preprocessed_image\r\r320.jpg,27
.\input\preprocessed_image\m\m416.jpg,22
.\input\preprocessed_image\f\f746.jpg,15
.\input\preprocessed_image\m\m978.jpg,22
.\input\preprocessed_image\7\7360.jpg,7
.\input\preprocessed_image\y\y979.jpg,34
.\input\preprocessed_image\7\779.jpg,7
.\input\preprocessed_image\f\f338.jpg,15
.\input\preprocessed_image\s\s32.jpg,28
.\input\preprocessed_image\x\x880.jpg,33
.\input\preprocessed_image\c\c496.jpg,12
.\input\preprocessed_image\4\4439.jpg,4
.\input\preprocessed_image\m\m668.jpg,22
.\input\preprocessed_image\g\g825.jpg,16
.\input\preprocessed_image\u\u145.jpg,30
.\input\preprocessed_image\p\p672.jpg,25
.\input\preprocessed_image\l\l352.jpg,21
.\input\preprocessed_image\w\w792.jpg,32
.\input\preprocessed_image\p\p609.jpg,25
.\input\preprocessed_image\e\e940.jpg,14
.\input\preprocessed_image\5\5859.jpg,5
.\input\preprocessed_image\7\7829.jpg,7
.\input\preprocessed_image\r\r682.jpg,27
.\input\preprocessed_image\y\y647.jpg,34
.\input\preprocessed_image\a\a778.jpg,10
.\input\preprocessed_image\p\p846.jpg,25
.\input\preprocessed_image\s\s128.jpg,28
.\input\preprocessed_image\0\092.jpg,0
.\input\preprocessed_image\o\o228.jpg,24
.\input\preprocessed_image\2\2529.jpg,2
.\input\preprocessed_image\5\5395.jpg,5
.\input\preprocessed_image\j\j409.jpg,19
.\input\preprocessed_image\b\b704.jpg,11
.\input\preprocessed_image\0\0589.jpg,0
.\input\preprocessed_image\q\q618.jpg,26
.\input\preprocessed_image\a\a477.jpg,10
.\input\preprocessed_image\l\l115.jpg,21
.\input\preprocessed_image\2\2992.jpg,2
.\input\preprocessed_image\c\c102.jpg,12
.\input\preprocessed_image\6\653.jpg,6
.\input\preprocessed_image\3\334.jpg,3
.\input\preprocessed_image\y\y650.jpg,34
.\input\preprocessed_image\h\h497.jpg,17
.\input\preprocessed_image\6\6284.jpg,6
.\input\preprocessed_image\m\m918.jpg,22
.\input\preprocessed_image\b\b754.jpg,11
.\input\preprocessed_image\9\9564.jpg,9
.\input\preprocessed_image\b\b967.jpg,11
.\input\preprocessed_image\g\g964.jpg,16
.\input\preprocessed_image\7\7174.jpg,7
.\input\preprocessed_image\m\m699.jpg,22
.\input\preprocessed_image\y\y171.jpg,34
.\input\preprocessed_image\u\u618.jpg,30
.\input\preprocessed_image\6\6232.jpg,6
.\input\preprocessed_image\x\x722.jpg,33
.\input\preprocessed_image\2\2739.jpg,2
.\input\preprocessed_image\8\8822.jpg,8
.\input\preprocessed_image\s\s601.jpg,28
.\input\preprocessed_image\r\r311.jpg,27
.\input\preprocessed_image\l\l351.jpg,21
.\input\preprocessed_image\2\2829.jpg,2
.\input\preprocessed_image\z\z148.jpg,35
.\input\preprocessed_image\f\f134.jpg,15
.\input\preprocessed_image\i\i527.jpg,18
.\input\preprocessed_image\6\6243.jpg,6
.\input\preprocessed_image\2\2347.jpg,2
.\input\preprocessed_image\l\l52.jpg,21
.\input\preprocessed_image\f\f224.jpg,15
.\input\preprocessed_image\s\s268.jpg,28
.\input\preprocessed_image\e\e660.jpg,14
.\input\preprocessed_image\w\w744.jpg,32
.\input\preprocessed_image\f\f292.jpg,15
.\input\preprocessed_image\u\u89.jpg,30
.\input\preprocessed_image\o\o446.jpg,24
.\input\preprocessed_image\9\9787.jpg,9
.\input\preprocessed_image\a\a698.jpg,10
.\input\preprocessed_image\z\z173.jpg,35
.\input\preprocessed_image\w\w193.jpg,32
.\input\preprocessed_image\7\7346.jpg,7
.\input\preprocessed_image\a\a466.jpg,10
.\input\preprocessed_image\z\z311.jpg,35
.\input\preprocessed_image\q\q845.jpg,26
.\input\preprocessed_image\f\f93.jpg,15
.\input\preprocessed_image\m\m140.jpg,22
.\input\preprocessed_image\b\b40.jpg,11
.\input\preprocessed_image\0\0243.jpg,0
.\input\preprocessed_image\4\4760.jpg,4
.\input\preprocessed_image\w\w514.jpg,32
.\input\preprocessed_image\c\c929.jpg,12
.\input\preprocessed_image\d\d473.jpg,13
.\input\preprocessed_image\1\11.jpg,1
.\input\preprocessed_image\y\y44.jpg,34
.\input\preprocessed_image\c\c605.jpg,12
.\input\preprocessed_image\n\n576.jpg,23
.\input\preprocessed_image\5\5820.jpg,5
.\input\preprocessed_image\6\6453.jpg,6
.\input\preprocessed_image\y\y105.jpg,34
.\input\preprocessed_image\v\v92.jpg,31
.\input\preprocessed_image\r\r568.jpg,27
.\input\preprocessed_image\a\a209.jpg,10
.\input\preprocessed_image\2\2270.jpg,2
.\input\preprocessed_image\y\y566.jpg,34
.\input\preprocessed_image\0\0782.jpg,0
.\input\preprocessed_image\q\q157.jpg,26
.\input\preprocessed_image\8\8238.jpg,8
.\input\preprocessed_image\9\966.jpg,9
.\input\preprocessed_image\f\f799.jpg,15
.\input\preprocessed_image\d\d135.jpg,13
.\input\preprocessed_image\t\t196.jpg,29
.\input\preprocessed_image\3\3899.jpg,3
.\input\preprocessed_image\6\6184.jpg,6
.\input\preprocessed_image\c\c806.jpg,12
.\input\preprocessed_image\w\w383.jpg,32
.\input\preprocessed_image\6\6464.jpg,6
.\input\preprocessed_image\e\e702.jpg,14
.\input\preprocessed_image\s\s697.jpg,28
.\input\preprocessed_image\o\o981.jpg,24
.\input\preprocessed_image\5\5760.jpg,5
.\input\preprocessed_image\3\3958.jpg,3
.\input\preprocessed_image\q\q48.jpg,26
.\input\preprocessed_image\f\f663.jpg,15
.\input\preprocessed_image\5\5127.jpg,5
.\input\preprocessed_image\h\h190.jpg,17
.\input\preprocessed_image\y\y567.jpg,34
.\input\preprocessed_image\b\b132.jpg,11
.\input\preprocessed_image\c\c508.jpg,12
.\input\preprocessed_image\5\5788.jpg,5
.\input\preprocessed_image\x\x761.jpg,33
.\input\preprocessed_image\b\b917.jpg,11
.\input\preprocessed_image\b\b205.jpg,11
.\input\preprocessed_image\8\8771.jpg,8
.\input\preprocessed_image\a\a667.jpg,10
.\input\preprocessed_image\8\8402.jpg,8
.\input\preprocessed_image\b\b887.jpg,11
.\input\preprocessed_image\b\b489.jpg,11
.\input\preprocessed_image\1\1973.jpg,1
.\input\preprocessed_image\p\p849.jpg,25
.\input\preprocessed_image\f\f977.jpg,15
.\input\preprocessed_image\o\o258.jpg,24
.\input\preprocessed_image\q\q171.jpg,26
.\input\preprocessed_image\5\5839.jpg,5
.\input\preprocessed_image\s\s350.jpg,28
.\input\preprocessed_image\o\o124.jpg,24
.\input\preprocessed_image\f\f609.jpg,15
.\input\preprocessed_image\f\f185.jpg,15
.\input\preprocessed_image\w\w727.jpg,32
.\input\preprocessed_image\v\v255.jpg,31
.\input\preprocessed_image\j\j14.jpg,19
.\input\preprocessed_image\s\s676.jpg,28
.\input\preprocessed_image\k\k15.jpg,20
.\input\preprocessed_image\a\a17.jpg,10
.\input\preprocessed_image\6\6455.jpg,6
.\input\preprocessed_image\7\776.jpg,7
.\input\preprocessed_image\s\s245.jpg,28
.\input\preprocessed_image\7\7281.jpg,7
.\input\preprocessed_image\z\z218.jpg,35
.\input\preprocessed_image\g\g673.jpg,16
.\input\preprocessed_image\m\m868.jpg,22
.\input\preprocessed_image\d\d404.jpg,13
.\input\preprocessed_image\l\l985.jpg,21
.\input\preprocessed_image\6\6129.jpg,6
.\input\preprocessed_image\n\n570.jpg,23
.\input\preprocessed_image\l\l910.jpg,21
.\input\preprocessed_image\c\c938.jpg,12
.\input\preprocessed_image\m\m282.jpg,22
.\input\preprocessed_image\w\w78.jpg,32
.\input\preprocessed_image\d\d612.jpg,13
.\input\preprocessed_image\n\n848.jpg,23
.\input\preprocessed_image\b\b349.jpg,11
.\input\preprocessed_image\1\1283.jpg,1
.\input\preprocessed_image\a\a799.jpg,10
.\input\preprocessed_image\2\2731.jpg,2
.\input\preprocessed_image\x\x651.jpg,33
.\input\preprocessed_image\j\j802.jpg,19
.\input\preprocessed_image\l\l930.jpg,21
.\input\preprocessed_image\8\8932.jpg,8
.\input\preprocessed_image\5\5256.jpg,5
.\input\preprocessed_image\o\o120.jpg,24
.\input\preprocessed_image\h\h265.jpg,17
.\input\preprocessed_image\8\8930.jpg,8
.\input\preprocessed_image\0\0713.jpg,0
.\input\preprocessed_image\0\0853.jpg,0
.\input\preprocessed_image\d\d221.jpg,13
.\input\preprocessed_image\j\j403.jpg,19
.\input\preprocessed_image\d\d185.jpg,13
.\input\preprocessed_image\2\2452.jpg,2
.\input\preprocessed_image\z\z567.jpg,35
.\input\preprocessed_image\o\o747.jpg,24
.\input\preprocessed_image\w\w865.jpg,32
.\input\preprocessed_image\0\0674.jpg,0
.\input\preprocessed_image\y\y11.jpg,34
.\input\preprocessed_image\5\5764.jpg,5
.\input\preprocessed_image\r\r140.jpg,27
.\input\preprocessed_image\z\z171.jpg,35
.\input\preprocessed_image\t\t972.jpg,29
.\input\preprocessed_image\4\4227.jpg,4
.\input\preprocessed_image\3\3963.jpg,3
.\input\preprocessed_image\p\p830.jpg,25
.\input\preprocessed_image\6\634.jpg,6
.\input\preprocessed_image\k\k221.jpg,20
.\input\preprocessed_image\w\w583.jpg,32
.\input\preprocessed_image\r\r853.jpg,27
.\input\preprocessed_image\5\5994.jpg,5
.\input\preprocessed_image\8\8845.jpg,8
.\input\preprocessed_image\3\3877.jpg,3
.\input\preprocessed_image\e\e537.jpg,14
.\input\preprocessed_image\x\x313.jpg,33
.\input\preprocessed_image\y\y850.jpg,34
.\input\preprocessed_image\p\p539.jpg,25
.\input\preprocessed_image\8\856.jpg,8
.\input\preprocessed_image\b\b650.jpg,11
.\input\preprocessed_image\m\m167.jpg,22
.\input\preprocessed_image\s\s283.jpg,28
.\input\preprocessed_image\w\w947.jpg,32
.\input\preprocessed_image\b\b96.jpg,11
.\input\preprocessed_image\q\q101.jpg,26
.\input\preprocessed_image\o\o347.jpg,24
.\input\preprocessed_image\h\h846.jpg,17
.\input\preprocessed_image\b\b371.jpg,11
.\input\preprocessed_image\o\o233.jpg,24
.\input\preprocessed_image\k\k624.jpg,20
.\input\preprocessed_image\i\i648.jpg,18
.\input\preprocessed_image\q\q230.jpg,26
.\input\preprocessed_image\i\i269.jpg,18
.\input\preprocessed_image\u\u655.jpg,30
.\input\preprocessed_image\c\c147.jpg,12
.\input\preprocessed_image\9\9735.jpg,9
.\input\preprocessed_image\8\8690.jpg,8
.\input\preprocessed_image\r\r451.jpg,27
.\input\preprocessed_image\f\f386.jpg,15
.\input\preprocessed_image\q\q897.jpg,26
.\input\preprocessed_image\y\y373.jpg,34
.\input\preprocessed_image\w\w706.jpg,32
.\input\preprocessed_image\t\t388.jpg,29
.\input\preprocessed_image\u\u631.jpg,30
.\input\preprocessed_image\6\6336.jpg,6
.\input\preprocessed_image\0\0593.jpg,0
.\input\preprocessed_image\b\b872.jpg,11
.\input\preprocessed_image\7\7893.jpg,7
.\input\preprocessed_image\o\o354.jpg,24
.\input\preprocessed_image\l\l699.jpg,21
.\input\preprocessed_image\2\2690.jpg,2
.\input\preprocessed_image\6\6452.jpg,6
.\input\preprocessed_image\a\a51.jpg,10
.\input\preprocessed_image\a\a545.jpg,10
.\input\preprocessed_image\l\l376.jpg,21
.\input\preprocessed_image\i\i286.jpg,18
.\input\preprocessed_image\g\g345.jpg,16
.\input\preprocessed_image\e\e274.jpg,14
.\input\preprocessed_image\3\3219.jpg,3
.\input\preprocessed_image\j\j275.jpg,19
.\input\preprocessed_image\e\e503.jpg,14
.\input\preprocessed_image\i\i440.jpg,18
.\input\preprocessed_image\y\y152.jpg,34
.\input\preprocessed_image\g\g642.jpg,16
.\input\preprocessed_image\i\i366.jpg,18
.\input\preprocessed_image\c\c466.jpg,12
.\input\preprocessed_image\q\q169.jpg,26
.\input\preprocessed_image\q\q127.jpg,26
.\input\preprocessed_image\3\3411.jpg,3
.\input\preprocessed_image\b\b689.jpg,11
.\input\preprocessed_image\v\v625.jpg,31
.\input\preprocessed_image\k\k817.jpg,20
.\input\preprocessed_image\c\c476.jpg,12
.\input\preprocessed_image\2\2792.jpg,2
.\input\preprocessed_image\d\d740.jpg,13
.\input\preprocessed_image\j\j471.jpg,19
.\input\preprocessed_image\i\i130.jpg,18
.\input\preprocessed_image\p\p986.jpg,25
.\input\preprocessed_image\x\x247.jpg,33
.\input\preprocessed_image\b\b923.jpg,11
.\input\preprocessed_image\5\5575.jpg,5
.\input\preprocessed_image\9\9207.jpg,9
.\input\preprocessed_image\p\p506.jpg,25
.\input\preprocessed_image\9\9733.jpg,9
.\input\preprocessed_image\p\p683.jpg,25
.\input\preprocessed_image\k\k859.jpg,20
.\input\preprocessed_image\0\0264.jpg,0
.\input\preprocessed_image\0\0708.jpg,0
.\input\preprocessed_image\r\r236.jpg,27
.\input\preprocessed_image\g\g572.jpg,16
.\input\preprocessed_image\k\k4.jpg,20
.\input\preprocessed_image\2\2646.jpg,2
.\input\preprocessed_image\f\f27.jpg,15
.\input\preprocessed_image\4\4764.jpg,4
.\input\preprocessed_image\s\s706.jpg,28
.\input\preprocessed_image\o\o423.jpg,24
.\input\preprocessed_image\a\a743.jpg,10
.\input\preprocessed_image\4\4384.jpg,4
.\input\preprocessed_image\l\l10.jpg,21
.\input\preprocessed_image\y\y391.jpg,34
.\input\preprocessed_image\c\c25.jpg,12
.\input\preprocessed_image\w\w734.jpg,32
.\input\preprocessed_image\x\x140.jpg,33
.\input\preprocessed_image\g\g117.jpg,16
.\input\preprocessed_image\c\c208.jpg,12
.\input\preprocessed_image\3\3912.jpg,3
.\input\preprocessed_image\9\9517.jpg,9
.\input\preprocessed_image\x\x926.jpg,33
.\input\preprocessed_image\3\3214.jpg,3
.\input\preprocessed_image\o\o225.jpg,24
.\input\preprocessed_image\h\h815.jpg,17
.\input\preprocessed_image\s\s971.jpg,28
.\input\preprocessed_image\b\b443.jpg,11
.\input\preprocessed_image\i\i122.jpg,18
.\input\preprocessed_image\t\t913.jpg,29
.\input\preprocessed_image\e\e418.jpg,14
.\input\preprocessed_image\7\717.jpg,7
.\input\preprocessed_image\g\g406.jpg,16
.\input\preprocessed_image\q\q563.jpg,26
.\input\preprocessed_image\4\4711.jpg,4
.\input\preprocessed_image\f\f261.jpg,15
.\input\preprocessed_image\3\3704.jpg,3
.\input\preprocessed_image\5\5527.jpg,5
.\input\preprocessed_image\i\i378.jpg,18
.\input\preprocessed_image\0\0212.jpg,0
.\input\preprocessed_image\p\p890.jpg,25
.\input\preprocessed_image\r\r791.jpg,27
.\input\preprocessed_image\e\e874.jpg,14
.\input\preprocessed_image\r\r627.jpg,27
.\input\preprocessed_image\r\r51.jpg,27
.\input\preprocessed_image\y\y900.jpg,34
.\input\preprocessed_image\4\4532.jpg,4
.\input\preprocessed_image\1\1664.jpg,1
.\input\preprocessed_image\j\j242.jpg,19
.\input\preprocessed_image\5\5672.jpg,5
.\input\preprocessed_image\v\v481.jpg,31
.\input\preprocessed_image\0\0963.jpg,0
.\input\preprocessed_image\r\r171.jpg,27
.\input\preprocessed_image\s\s291.jpg,28
.\input\preprocessed_image\r\r507.jpg,27
.\input\preprocessed_image\8\8374.jpg,8
.\input\preprocessed_image\c\c875.jpg,12
.\input\preprocessed_image\5\5149.jpg,5
.\input\preprocessed_image\f\f912.jpg,15
.\input\preprocessed_image\f\f574.jpg,15
.\input\preprocessed_image\w\w984.jpg,32
.\input\preprocessed_image\7\74.jpg,7
.\input\preprocessed_image\5\5133.jpg,5
.\input\preprocessed_image\k\k61.jpg,20
.\input\preprocessed_image\v\v432.jpg,31
.\input\preprocessed_image\f\f725.jpg,15
.\input\preprocessed_image\c\c838.jpg,12
.\input\preprocessed_image\f\f659.jpg,15
.\input\preprocessed_image\l\l609.jpg,21
.\input\preprocessed_image\h\h266.jpg,17
.\input\preprocessed_image\9\9264.jpg,9
.\input\preprocessed_image\i\i35.jpg,18
.\input\preprocessed_image\t\t922.jpg,29
.\input\preprocessed_image\v\v535.jpg,31
.\input\preprocessed_image\x\x482.jpg,33
.\input\preprocessed_image\j\j30.jpg,19
.\input\preprocessed_image\2\2263.jpg,2
.\input\preprocessed_image\r\r804.jpg,27
.\input\preprocessed_image\q\q239.jpg,26
.\input\preprocessed_image\d\d98.jpg,13
.\input\preprocessed_image\f\f822.jpg,15
.\input\preprocessed_image\6\631.jpg,6
.\input\preprocessed_image\d\d887.jpg,13
.\input\preprocessed_image\r\r923.jpg,27
.\input\preprocessed_image\w\w834.jpg,32
.\input\preprocessed_image\g\g433.jpg,16
.\input\preprocessed_image\k\k369.jpg,20
.\input\preprocessed_image\t\t659.jpg,29
.\input\preprocessed_image\g\g246.jpg,16
.\input\preprocessed_image\j\j444.jpg,19
.\input\preprocessed_image\0\0551.jpg,0
.\input\preprocessed_image\e\e866.jpg,14
.\input\preprocessed_image\a\a867.jpg,10
.\input\preprocessed_image\i\i952.jpg,18
.\input\preprocessed_image\w\w63.jpg,32
.\input\preprocessed_image\5\5370.jpg,5
.\input\preprocessed_image\v\v784.jpg,31
.\input\preprocessed_image\e\e902.jpg,14
.\input\preprocessed_image\b\b906.jpg,11
.\input\preprocessed_image\4\4332.jpg,4
.\input\preprocessed_image\t\t818.jpg,29
.\input\preprocessed_image\y\y312.jpg,34
.\input\preprocessed_image\a\a684.jpg,10
.\input\preprocessed_image\f\f903.jpg,15
.\input\preprocessed_image\q\q602.jpg,26
.\input\preprocessed_image\c\c633.jpg,12
.\input\preprocessed_image\j\j626.jpg,19
.\input\preprocessed_image\k\k376.jpg,20
.\input\preprocessed_image\k\k618.jpg,20
.\input\preprocessed_image\n\n451.jpg,23
.\input\preprocessed_image\c\c451.jpg,12
.\input\preprocessed_image\9\9115.jpg,9
.\input\preprocessed_image\l\l30.jpg,21
.\input\preprocessed_image\8\8382.jpg,8
.\input\preprocessed_image\t\t443.jpg,29
.\input\preprocessed_image\s\s11.jpg,28
.\input\preprocessed_image\g\g265.jpg,16
.\input\preprocessed_image\g\g74.jpg,16
.\input\preprocessed_image\j\j185.jpg,19
.\input\preprocessed_image\u\u707.jpg,30
.\input\preprocessed_image\q\q953.jpg,26
.\input\preprocessed_image\q\q593.jpg,26
.\input\preprocessed_image\x\x426.jpg,33
.\input\preprocessed_image\x\x30.jpg,33
.\input\preprocessed_image\l\l821.jpg,21
.\input\preprocessed_image\g\g192.jpg,16
.\input\preprocessed_image\b\b702.jpg,11
.\input\preprocessed_image\r\r849.jpg,27
.\input\preprocessed_image\e\e779.jpg,14
.\input\preprocessed_image\r\r294.jpg,27
.\input\preprocessed_image\h\h449.jpg,17
.\input\preprocessed_image\7\7914.jpg,7
.\input\preprocessed_image\7\7979.jpg,7
.\input\preprocessed_image\x\x392.jpg,33
.\input\preprocessed_image\3\3825.jpg,3
.\input\preprocessed_image\c\c909.jpg,12
.\input\preprocessed_image\d\d647.jpg,13
.\input\preprocessed_image\o\o130.jpg,24
.\input\preprocessed_image\s\s674.jpg,28
.\input\preprocessed_image\g\g27.jpg,16
.\input\preprocessed_image\0\0992.jpg,0
.\input\preprocessed_image\n\n978.jpg,23
.\input\preprocessed_image\h\h841.jpg,17
.\input\preprocessed_image\u\u228.jpg,30
.\input\preprocessed_image\0\0858.jpg,0
.\input\preprocessed_image\k\k876.jpg,20
.\input\preprocessed_image\s\s112.jpg,28
.\input\preprocessed_image\5\5809.jpg,5
.\input\preprocessed_image\r\r393.jpg,27
.\input\preprocessed_image\w\w858.jpg,32
.\input\preprocessed_image\a\a418.jpg,10
.\input\preprocessed_image\q\q504.jpg,26
.\input\preprocessed_image\6\6180.jpg,6
.\input\preprocessed_image\t\t469.jpg,29
.\input\preprocessed_image\i\i701.jpg,18
